grp,tax,den,div
1,39,5652.173913,3.259054407
1,50,7304.347826,3.159088987
1,46,7956.521739,3.27171377
1,67,12304.34783,3.692373771
1,57,7826.086957,3.612502931
1,78,17652.17391,3.795062982
1,64,18086.95652,3.25439962
1,72,25086.95652,3.036155388
1,71,24391.30435,3.380046999
1,39,5086.956522,3.22208437
1,33,4391.304348,2.912828306
1,46,5043.478261,3.315600219
1,30,3130.434783,3.166107185
1,36,3434.782609,3.295336098
1,31,3565.217391,2.92419042
1,58,47695.65217,1.909996383
1,77,41521.73913,2.064862877
1,76,56652.17391,2.308068726
1,58,11304.34783,3.110948597
1,97,19913.04348,3.500886849
1,66,12521.73913,3.35077487
1,55,12956.52174,3.040985931
1,62,38521.73913,1.817703818
1,23,5391.304348,1.909225062
1,53,7217.391304,3.419815808
1,46,6217.391304,3.336401113
1,16,1000,2.630554954
1,49,13391.30435,2.789293595
1,49,16391.30435,3.157013536
1,62,30043.47826,2.981515204
1,50,10086.95652,3.047284554
1,53,11130.43478,3.083265334
1,26,6956.521739,2.303803948
1,24,3434.782609,2.577454035
1,53,10000,3.117043654
1,73,16956.52174,3.196623737
2,62,14956.52174,2.306821307
2,102,31130.43478,2.899840648
2,98,50695.65217,2.577146066
2,105,61086.95652,2.278819027
2,66,13652.17391,2.863059926
2,38,4956.521739,3.163591635
2,72,10304.34783,3.69374546
2,62,12217.3913,3.303063155
2,54,7043.478261,3.50831871
2,54,17304.34783,2.694251589
2,68,20304.34783,3.184699249
2,77,30217.3913,3.147319201
2,82,41565.21739,3.384857113
2,79,36826.08696,3.228744294
2,68,25478.26087,3.159664416
2,87,78217.3913,2.550145301
2,50,28260.86957,2.057367065
2,69,20565.21739,3.583942583
2,58,13260.86957,3.05110901
2,81,17260.86957,3.453653451
2,87,17304.34783,3.419072148
2,48,5695.652174,3.470796721
2,44,6043.478261,3.247388025
2,41,6652.173913,3.169324616
2,33,4652.173913,3.025116122
2,32,3478.26087,3.097584344
2,46,10086.95652,2.621066683
2,60,15695.65217,3.092189987
2,45,8173.913043,3.166094032
2,75,23565.21739,3.392431447
2,49,33652.17391,2.674627757
2,70,39043.47826,2.899742701
2,52,19608.69565,2.783719467
2,24,5086.956522,2.33415029
2,21,1956.521739,2.630308873
2,34,5782.608696,2.453402831
3,69,21173.91304,2.980709727
3,62,13782.6087,3.340078459
3,63,18130.43478,2.783030072
3,43,9478.26087,2.811947278
3,28,6782.608696,2.534573398
3,41,9000,2.85743161
