site,Altit,Forest,ForDens,BrLeaf,E2,E2Con,E1,E1Height,Slope,Rocks,NoRocks,Warm,Cold
R1,860,4,3,2,2,2,3,1,8,0,1,0,1
R2,1010,4,3,2,0,0,1,1,5,1,0,0,1
R3,1070,4,2,2,2,2,4,1,8,0,1,0,1
R4,1050,4,2,2,2,2,3,1,9,0,1,0,1
R5,1030,4,2,2,2,2,6,1,7,0,1,0,1
R6,880,4,1,2,2,2,5,2,9,1,0,0,1
R7,1035,4,3,2,2,0,1,1,6,1,0,0,1
R8,1130,4,2,2,2,2,4,1,1,0,1,0,1
R9,1090,2,2,3,2,0,8,1,6,0,1,0,1
R10,1105,2,2,4,3,2,9,2,6,0,1,0,1
R11,1240,4,1,2,1,4,8,2,6,1,0,0,1
R12,1235,4,1,2,3,2,9,3,7,0,1,0,1
R13,1220,3,2,4,0,0,9,2,6,0,1,0,1
R14,1180,0,0,0,3,1,8,3,7,0,1,0,1
R15,1275,3,2,2,3,2,8,1,5,1,0,1,0
R16,1315,2,2,0,0,0,9,1,5,1,0,1,0
R17,1275,4,2,2,2,2,8,2,6,0,1,0,1
R18,1330,2,2,1,1,3,6,2,7,0,1,0,1
R19,860,2,2,1,1,3,8,2,5,0,1,0,1
R20,1285,3,2,2,1,2,7,2,6,0,1,1,0
R21,1330,1,1,1,1,4,8,1,6,1,0,1,0
R27,885,4,2,1,2,3,7,3,6,0,1,0,1
R28,1025,4,2,2,0,0,4,1,5,0,1,0,1
R29,1095,4,2,3,0,0,8,1,6,0,1,0,1
R30,1155,2,2,2,1,2,6,2,4,0,1,0,1
R31,1190,3,2,2,2,2,5,2,7,0,1,0,1
R32,1295,2,2,0,2,4,6,2,6,0,1,0,1
R37,930,4,2,4,1,0,6,2,8,0,1,0,1
R38,1000,3,2,4,1,0,9,4,7,0,1,0,1
R39,1090,4,1,2,3,4,9,3,5,0,1,0,1
R40,1180,2,2,2,2,2,4,1,3,0,1,0,1
R41,1175,3,2,4,3,0,8,2,4,0,1,1,0
R42,1170,4,2,4,2,0,8,2,8,0,1,1,0
R43,1190,4,2,4,3,0,9,2,9,0,1,1,0
R46,910,4,2,4,0,0,7,2,8,0,1,0,1
R47,1050,4,3,2,0,0,8,2,4,0,1,0,1
R48,1035,4,1,3,3,2,9,3,4,0,1,1,0
R49,1010,2,1,4,3,0,9,3,9,0,1,1,0
R50,1135,4,2,4,3,0,9,3,9,0,1,0,1
R51,1190,4,2,4,1,0,9,3,9,0,1,1,0
R54,910,4,2,4,0,0,6,2,9,0,1,1,0
R55,1050,4,2,3,0,0,9,2,7,0,1,1,0
R56,1045,1,2,4,3,1,9,2,8,0,1,1,0
