yr,plot,mow,fert,remo
1,1,1,0,1
1,2,0,0,0
1,3,1,1,1
1,4,0,1,0
1,5,0,0,1
1,6,1,0,0
1,7,0,1,1
1,8,1,1,0
1,9,1,1,0
1,10,0,1,1
1,11,1,0,0
1,12,0,0,1
1,13,0,1,0
1,14,1,1,1
1,15,0,0,0
1,16,1,0,1
1,17,0,0,1
1,18,1,1,0
1,19,0,1,1
1,20,1,0,0
1,21,1,0,1
1,22,0,1,0
1,23,1,1,1
1,24,0,0,0
2,1,1,0,1
2,2,0,0,0
2,3,1,1,1
2,4,0,1,0
2,5,0,0,1
2,6,1,0,0
2,7,0,1,1
2,8,1,1,0
2,9,1,1,0
2,10,0,1,1
2,11,1,0,0
2,12,0,0,1
2,13,0,1,0
2,14,1,1,1
2,15,0,0,0
2,16,1,0,1
2,17,0,0,1
2,18,1,1,0
2,19,0,1,1
2,20,1,0,0
2,21,1,0,1
2,22,0,1,0
2,23,1,1,1
2,24,0,0,0
3,1,1,0,1
3,2,0,0,0
3,3,1,1,1
3,4,0,1,0
3,5,0,0,1
3,6,1,0,0
3,7,0,1,1
3,8,1,1,0
3,9,1,1,0
3,10,0,1,1
3,11,1,0,0
3,12,0,0,1
3,13,0,1,0
3,14,1,1,1
3,15,0,0,0
3,16,1,0,1
3,17,0,0,1
3,18,1,1,0
3,19,0,1,1
3,20,1,0,0
3,21,1,0,1
3,22,0,1,0
3,23,1,1,1
3,24,0,0,0
4,1,1,0,1
4,2,0,0,0
4,3,1,1,1
4,4,0,1,0
4,5,0,0,1
4,6,1,0,0
4,7,0,1,1
4,8,1,1,0
4,9,1,1,0
4,10,0,1,1
4,11,1,0,0
4,12,0,0,1
4,13,0,1,0
4,14,1,1,1
4,15,0,0,0
4,16,1,0,1
4,17,0,0,1
4,18,1,1,0
4,19,0,1,1
4,20,1,0,0
4,21,1,0,1
4,22,0,1,0
4,23,1,1,1
4,24,0,0,0
