Rx,Paramesacanthion_sp.,Halalaimus_sp.,Viscosia_sp.,Symplocostoma_sp.,Bathylaimus_inermis,Bathylaimus_sp.,Rhabdodemania_sp.,Pandolaimus_latilaimus,Halanonchus_sp.,Trefusia_sp.,Chromadora_sp.,Dichromadora_sp.,Neochromadora_sp.,Prochromadorella_sp.,Neotonchus_sp.,Marylynnia_complexa,Paracanthonchus_sp.,Cyatholaimidae_un.,Choniolaimus_papillatus,Halichoanolaimus_dolichurus,Richtersia_inaequalis,Dorylaimopsis_punctatus,Sabatieria_longicaudata,Sabatieria_punctata,Sabatieria_sp.,Setosabieria_hilarula,Chromaspirina_sp.,Molgolaimus_sp.,Spirinia_parasitifera,Aponema_torosa,Microlaimus_sp.1,Microlaimus_sp.2,Camacolaimus_sp.,Leptolaimus_elegans,Monhystera_sp.,Amphimonhystera_sp.,Daptonema_sp.1,Daptonema_sp.2,Daptonema_sp.3,Theristus_aff_acer,Xyalidae_un.,Sphaerolaimus_macrocirculus,Sphaerolaimus_paradoxus,Desmolaimus_sp.,Eleutherolaimus_sp.,Eumorpholaimus_sp.,Terschellingia_longicaudata,Paralinhomoeus_conicaudatus,Linhomieidae_un.A,Linhomieidae_un.B,Axonolaimus_sp.,Odontophora_sp.,Unidentified
1,1,0,0,0,0,0,0,1,38,0,0,0,0,0,0,4,0,0,0,3,0,11,0,1,0,0,0,2,9,2,0,0,1,1,0,0,4,0,0,0,0,1,2,2,0,0,11,0,0,0,1,2,3
1,0,1,0,0,0,0,0,1,8,1,0,0,0,3,1,7,0,1,1,0,1,9,2,1,0,0,0,17,4,4,0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,0,27,0,1,0,0,3,0
1,0,2,0,0,0,0,0,0,7,0,0,0,1,5,0,14,0,1,0,1,1,12,1,0,0,1,0,7,9,11,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,21,1,0,0,0,1,0
1,0,1,0,0,0,1,0,1,6,0,0,0,1,4,0,23,0,0,1,1,2,8,1,0,1,3,1,4,2,8,1,0,0,2,0,1,2,0,0,0,0,1,0,4,0,1,16,0,0,0,1,2,0
2,0,2,1,1,2,0,0,0,10,1,0,9,0,3,0,6,0,0,1,2,1,12,2,0,0,0,0,5,8,2,0,0,0,0,0,0,8,1,0,0,0,1,0,0,1,0,13,1,2,0,0,4,0
2,0,0,2,0,0,0,0,0,21,0,0,4,1,0,0,11,1,0,1,0,0,2,3,0,0,0,0,10,7,18,0,0,1,1,0,0,6,0,0,0,0,0,0,3,0,1,4,0,0,1,0,3,0
2,0,1,1,0,2,0,0,1,16,1,0,1,6,9,0,5,0,0,1,0,3,8,2,0,0,1,1,2,2,7,1,0,0,2,1,0,11,0,0,0,0,0,1,0,0,0,9,0,1,0,0,4,0
2,0,1,1,0,0,0,0,0,26,0,0,0,2,9,0,6,0,0,0,0,0,6,0,0,0,0,0,18,6,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,1,0,6,0
3,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,7,0,0,1,2,0,26,0,0,1,0,0,7,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,3,0,3,3,0
3,0,0,1,0,2,1,0,1,17,0,0,0,2,0,0,17,0,0,3,1,1,14,4,0,0,0,0,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,2,0
3,0,2,0,0,0,0,0,4,4,0,0,2,0,0,0,4,0,0,0,7,0,29,2,0,2,2,0,2,17,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,4,0
3,0,0,0,0,0,0,0,3,32,0,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,16,1,11,3,1,0,4,1,0,0,0,0,0,1,0,1,0,0,0,7,0,3,1,0,8,0
